Datum,Art,Titel,Info,Währung,Betrag,"Gebühren & Steuern",Netto,"Steuerliche Angaben"
"18. September 2022",Fee,"Transaction fee: Shipping","Order #2600106477",EUR,--,-€0.32,-€0.32,--
"18. September 2022",Fee,"Transaction fee: Personalized Quiet Book Dream Job suitab...","Order #2600106477",EUR,--,-€2.92,-€2.92,--
"18. September 2022",Fee,"Processing fee","Order #2600106477",EUR,--,-€2.30,-€2.30,--
"18. September 2022",Sale,"Payment for Order #2600106477","Funds will be available on Sep 19, 2022",EUR,€49.98,--,€49.98,--
"18. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1131382499",EUR,--,-€0.20,-€0.20,--
"18. September 2022",Fee,"Transaction fee: Shipping","Order #2600077853",EUR,--,-€0.32,-€0.32,--
"18. September 2022",Fee,"Processing fee","Order #2600077853",EUR,--,-€2.58,-€2.58,--
"18. September 2022",Fee,"Transaction fee: Personalized Quiet Book Dream Job suitab...","Order #2600077853",EUR,--,-€3.38,-€3.38,--
"18. September 2022",Sale,"Payment for Order #2600077853","Funds will be available on Sep 19, 2022",EUR,€56.98,--,€56.98,--
"18. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1131382499",EUR,--,-€0.20,-€0.20,--
"18. September 2022",Fee,"Transaction fee: Shipping","Order #2603042326",EUR,--,-€0.32,-€0.32,--
"18. September 2022",Fee,"Transaction fee: Personalized Quiet Book Dream Job suitab...","Order #2603042326",EUR,--,-€2.92,-€2.92,--
"18. September 2022",Fee,"Processing fee","Order #2603042326",EUR,--,-€2.30,-€2.30,--
"18. September 2022",Sale,"Payment for Order #2603042326","Funds will be available on Sep 19, 2022",EUR,€49.98,--,€49.98,--
"18. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1131382499",EUR,--,-€0.20,-€0.20,--
"18. September 2022",Marketing,"Gutschrift für Etsy Ads",,EUR,--,€5.59,€5.59,--
"18. September 2022",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Sep 17, 2022",EUR,--,-€13.98,-€13.98,--
"17. September 2022",Fee,"Transaction fee: Shipping","Order #2602636316",EUR,--,-€0.32,-€0.32,--
"17. September 2022",Sale,"Payment for Order #2602636316",,EUR,€52.98,--,€52.98,--
"17. September 2022",Fee,"Transaction fee: Personalized Quiet Book Ocean life/ 6 pa...","Order #2602636316",EUR,--,-€3.12,-€3.12,--
"17. September 2022",Fee,"Processing fee","Order #2602636316",EUR,--,-€2.42,-€2.42,--
"17. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1255075997",EUR,--,-€0.20,-€0.20,--
"17. September 2022",Fee,"Transaction fee: Shipping","Order #2599048191",EUR,--,-€0.65,-€0.65,--
"17. September 2022",Fee,"Transaction fee: Quiet Book Hungry Caterpillar - Montesso...","Order #2599048191",EUR,--,-€2.53,-€2.53,--
"17. September 2022",Sale,"Payment for Order #2599048191",,EUR,€48.98,--,€48.98,--
"17. September 2022",Fee,"Processing fee","Order #2599048191",EUR,--,-€2.26,-€2.26,--
"17. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1165785482",EUR,--,-€0.20,-€0.20,--
"17. September 2022",Fee,"Transaction fee: Quiet Book One day on a farm - 8 pages/ ...","Order #2599002173",EUR,--,-€3.44,-€3.44,--
"17. September 2022",Fee,"Processing fee","Order #2599002173",EUR,--,-€2.62,-€2.62,--
"17. September 2022",Fee,"Transaction fee: Shipping","Order #2599002173",EUR,--,-€0.32,-€0.32,--
"17. September 2022",Sale,"Payment for Order #2599002173",,EUR,€57.98,--,€57.98,--
"17. September 2022",Fee,"Einstellgebühr (0,20 USD)","Artikel Nr. 1075450980",EUR,--,-€0.20,-€0.20,--
"17. September 2022",Fee,"Transaction fee: Shipping","Order #2598995395",EUR,--,-€0.32,-€0.32,--
"17. September 2022",Fee,"Processing fee","Order #2598995395",EUR,--,-€1.18,-€1.18,--
"17. September 2022",Sale,"Payment for Order #2598995395",,EUR,€21.98,--,€21.98,--
